Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81355982435931,144.95364875876248
-37.81355982435931,144.95364875876248
-37.81355982435931,144.95364875876248
-37.81355982435931,144.95364875876248
-37.81390328055099,144.95188182983227
-37.814845242608236,144.95308748628528
-37.81392790701,144.95426162230817
-37.81442819308098,144.95313796139527
-37.81481408537912,144.95448372776957
-37.81527964783999,144.95313163620645
-37.814148276990096,144.95426300705634
-37.81377619944911,144.95617718006406
-37.8154292306956,144.95709347024632
-37.81660061811893,144.9579136845503
-37.81704827071708,144.9559746881214
-37.81852555240995,144.956663555888
-37.81806650131217,144.9579967370796
-37.81806650131217,144.9579967370796
-37.81704553525546,144.95945482771845
-37.81704553525546,144.95945482771845
-37.81601913022636,144.96034706799787
-37.81601913022636,144.96034706799787
-37.81601913022636,144.96034706799787
-37.81601913022636,144.96034706799787
-37.81601913022636,144.96034706799787
-37.81601913022636,144.96034706799787
-37.81672490777269,144.95890000958332
-37.8179701511453,144.9587910649049
-37.8179701511453,144.9587910649049
-37.818650151145306,144.95761327035575
-37.818650151145306,144.95761327035575
-37.819500151145306,144.9561410271693
-37.81766584510864,144.95677262938895
-37.81620840518355,144.95708241780827
-37.81795661354641,144.95735930681138
-37.819742392962105,144.95660128842212
-37.819742392962105,144.95660128842212
-37.819996410952484,144.95558247790953
-37.819996410952484,144.95558247790953
-37.818223756997064,144.95589504462933
-37.81883665230621,144.95691507371717
-37.819059117815385,144.95586845578438
-37.819059117815385,144.95586845578438
-37.819059117815385,144.95586845578438
-37.819059117815385,144.95586845578438
-37.818392553429234,144.95760491537766
-37.81980149494541,144.95661836390713
-37.81804748766673,144.95739929826183
-37.81804748766673,144.95739929826183
-37.81969584973648,144.95655941583732
-37.820750021416366,144.9553031029506
-37.820750021416366,144.9553031029506
-37.820750021416366,144.9553031029506
-37.81984999575063,144.95584389292927
-37.81984999575063,144.95584389292927
-37.81984999575063,144.95584389292927
-37.818166625716785,144.9563908530093
-37.817136385908825,144.95716719438917
-37.81724300494136,144.95818160672243
-37.815352174055576,144.95851501122357
-37.816559149251425,144.95784597394763
-37.816438002769004,144.959230684578
-37.81656448220956,144.9604340560714
-37.815158727836405,144.96127871851425
-37.815158727836405,144.96127871851425
-37.81462622882661,144.96242066632593
-37.81462622882661,144.96242066632593
-37.81462622882661,144.96242066632593
-37.81462622882661,144.96242066632593
-37.81462622882661,144.96242066632593
-37.81415258997407,144.96418831058804
-37.81415258997407,144.96418831058804
-37.81415258997407,144.96418831058804
-37.81415258997407,144.96418831058804
-37.813830833852926,144.96547880390398
-37.813830833852926,144.96547880390398
-37.8126982100608,144.9663017032572
-37.812071339320894,144.96758697874338
-37.81299157102643,144.96696627462052
-37.814398136337296,144.96686791799254
-37.81437422654048,144.96823770933491
-37.81428075286566,144.96957444516227
-37.81290580790662,144.97085660207918
-37.81227420568697,144.97269090811585
-37.81227420568697,144.97269090811585
-37.81375168138056,144.97380426590868
-37.81375168138056,144.97380426590868
-37.81375168138056,144.97380426590868
-37.81375168138056,144.97380426590868
-37.81494549548504,144.97299902812767
-37.81494549548504,144.97299902812767
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
-37.814263497124976,144.97373038182928
